Rank;Player Tag;Player Name;Total Earnings;Country;Primary Game;Game Earnings;Earnings Percentage;Player Profile Link;Title;Name;Date of Birth;Age;Country Ranking;Total Prize Money Earned;Alternate IDs;Player;Total_2023;Total_2022;Total_2021;Total_2020;Total_2019;Total_2018;Total_2017;Total_2016;Total_2015;Total_2014;Total_2013;Total_2012;Total_2011;Total_2010;Total_2009;Total_2008;Total_2007;Total_2006;Total_2005;Total_2004;Total_2003;Total_2002;Total_2001
1;N0tail;Johan Sundstein;$7,184,163.05;Denmark;Dota 2;$7,172,436.83;99.84%;https://www.esportsearnings.com/players/3304-n0tail-johan-sundstein;"Johan ""N0tail"" Sundstein - Dota 2 Player";Johan Sundstein;October 8, 1993;30;#1;$7,184,163.05From 130 Tournaments;BDN, BigDaddyN0tail, N0tail, [MSI] N0tail;N0tail Johan Sundstein;0;0;$214,100.00;$75,571.40;$3,155,536.20;$2,282,716.63;$402,042.40;$583,028.80;$349,255.11;$79,872.93;$24,986.90;$5,326.46;$10,011.21;0;0;0;0;0;0;0;0;0;0
1;N0tail;Johan Sundstein;$7,184,163.05;Denmark;Dota 2;$7,172,436.83;99.84%;https://www.esportsearnings.com/players/3304-n0tail-johan-sundstein;"Johan ""N0tail"" Sundstein - Dota 2 Player";Johan Sundstein;October 8, 1993;30;#1;$7,184,163.05From 130 Tournaments;BDN, BigDaddyN0tail, N0tail, [MSI] N0tail;N0tail Johan Sundstein;0;0;$214,100.00;$75,571.40;$3,155,536.20;$2,282,716.63;$402,042.40;$583,028.80;$349,255.11;$79,872.93;$24,986.90;$5,326.46;$10,011.21;0;0;0;0;0;0;0;0;0;0
2;JerAx;Jesse Vainikka;$6,486,623.98;Finland;Dota 2;$6,486,075.22;99.99%;https://www.esportsearnings.com/players/3822-jerax-jesse-vainikka;"Jesse ""JerAx"" Vainikka - Dota 2 Player";Jesse Vainikka;May 7, 1992;31;#1;$6,486,623.98From 68 Tournaments;JerAx;JerAx Jesse Vainikka;0;0;0;0;$3,163,536.20;$2,290,631.60;$402,042.40;$555,163.20;$50,969.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;JerAx;Jesse Vainikka;$6,486,623.98;Finland;Dota 2;$6,486,075.22;99.99%;https://www.esportsearnings.com/players/3822-jerax-jesse-vainikka;"Jesse ""JerAx"" Vainikka - Dota 2 Player";Jesse Vainikka;May 7, 1992;31;#1;$6,486,623.98From 68 Tournaments;JerAx;JerAx Jesse Vainikka;0;0;0;0;$3,163,536.20;$2,290,631.60;$402,042.40;$555,163.20;$50,969.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;ana;Anathan Pham;$6,024,411.96;Australia;Dota 2;$6,024,411.96;100.00%;https://www.esportsearnings.com/players/30451-ana-anathan-pham;"Anathan ""ana"" Pham - Dota 2 Player";Anathan Pham;October 26, 1999;24;#1;$6,024,411.96From 26 Tournaments;ana, OG.ana;ana Anathan Pham;0;0;0;0;$3,146,536.20;$2,249,136.18;$364,942.40;$239,797.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;ana;Anathan Pham;$6,024,411.96;Australia;Dota 2;$6,024,411.96;100.00%;https://www.esportsearnings.com/players/30451-ana-anathan-pham;"Anathan ""ana"" Pham - Dota 2 Player";Anathan Pham;October 26, 1999;24;#1;$6,024,411.96From 26 Tournaments;ana, OG.ana;ana Anathan Pham;0;0;0;0;$3,146,536.20;$2,249,136.18;$364,942.40;$239,797.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Ceb;Sébastien Debs;$5,887,342.73;France;Dota 2;$5,887,342.73;100.00%;https://www.esportsearnings.com/players/2811-ceb-sebastien-debs;"Sébastien ""Ceb"" Debs - Dota 2 Player";Sébastien Debs;May 11, 1992;31;#1;$5,887,342.73From 74 Tournaments;7ckngMad, Ce6, Ceb, FuckingMad, mTw 7ckngMad, OG.Ceb, Quantic @7fkngMadDOTA, shiba.gaming 7ckngMad;Ceb Sébastien Debs;0;0;$214,100.00;$70,479.40;$3,163,536.20;$2,280,216.63;0;0;$21,235.45;0;0;$5,338.04;0;0;0;0;0;0;0;0;0;0;0
4;Ceb;Sébastien Debs;$5,887,342.73;France;Dota 2;$5,887,342.73;100.00%;https://www.esportsearnings.com/players/2811-ceb-sebastien-debs;"Sébastien ""Ceb"" Debs - Dota 2 Player";Sébastien Debs;May 11, 1992;31;#1;$5,887,342.73From 74 Tournaments;7ckngMad, Ce6, Ceb, FuckingMad, mTw 7ckngMad, OG.Ceb, Quantic @7fkngMadDOTA, shiba.gaming 7ckngMad;Ceb Sébastien Debs;0;0;$214,100.00;$70,479.40;$3,163,536.20;$2,280,216.63;0;0;$21,235.45;0;0;$5,338.04;0;0;0;0;0;0;0;0;0;0;0
5;Topson;Topias Taavitsainen;$5,722,674.53;Finland;Dota 2;$5,722,674.53;100.00%;https://www.esportsearnings.com/players/18897-topson-topias-taavitsainen;"Topias ""Topson"" Taavitsainen - Dota 2 Player";Topias Taavitsainen;April 14, 1998;25;#2;$5,722,674.53From 37 Tournaments;OG.Topson, Topson;Topson Topias Taavitsainen;0;0;$214,100.00;$61,871.40;$3,163,536.20;$2,249,841.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Topson;Topias Taavitsainen;$5,722,674.53;Finland;Dota 2;$5,722,674.53;100.00%;https://www.esportsearnings.com/players/18897-topson-topias-taavitsainen;"Topias ""Topson"" Taavitsainen - Dota 2 Player";Topias Taavitsainen;April 14, 1998;25;#2;$5,722,674.53From 37 Tournaments;OG.Topson, Topson;Topson Topias Taavitsainen;0;0;$214,100.00;$61,871.40;$3,163,536.20;$2,249,841.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Miposhka;Yaroslav Naidenov;$5,626,952.09;Russian Federation;Dota 2;$5,626,952.09;100.00%;https://www.esportsearnings.com/players/15855-miposhka-yaroslav-naidenov;"Yaroslav ""Miposhka"" Naidenov - Dota 2 Player";Yaroslav Naidenov(Ярослав Найдёнов);November 30, 1997;26;#1;$5,626,952.09From 97 Tournaments;Miposhka;Miposhka Yaroslav Naidenov;$1,409,472.40;$277,846.68;$3,695,573.33;0;0;0;$165,706.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Miposhka;Yaroslav Naidenov;$5,626,952.09;Russian Federation;Dota 2;$5,626,952.09;100.00%;https://www.esportsearnings.com/players/15855-miposhka-yaroslav-naidenov;"Yaroslav ""Miposhka"" Naidenov - Dota 2 Player";Yaroslav Naidenov(Ярослав Найдёнов);November 30, 1997;26;#1;$5,626,952.09From 97 Tournaments;Miposhka;Miposhka Yaroslav Naidenov;$1,409,472.40;$277,846.68;$3,695,573.33;0;0;0;$165,706.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Yatoro;Ilya Mulyarchuk;$5,398,553.55;Ukraine;Dota 2;$5,398,553.55;100.00%;https://www.esportsearnings.com/players/70916-yatoro-ilya-mulyarchuk;"Ilya ""Yatoro"" Mulyarchuk - Dota 2 Player";Ilya Mulyarchuk(Илья Мулярчук);March 12, 2003;20;#1;$5,398,553.55From 38 Tournaments;yatoro, YatoroGOD;Yatoro Ilya Mulyarchuk;$1,414,472.40;$277,902.24;$3,695,573.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Yatoro;Ilya Mulyarchuk;$5,398,553.55;Ukraine;Dota 2;$5,398,553.55;100.00%;https://www.esportsearnings.com/players/70916-yatoro-ilya-mulyarchuk;"Ilya ""Yatoro"" Mulyarchuk - Dota 2 Player";Ilya Mulyarchuk(Илья Мулярчук);March 12, 2003;20;#1;$5,398,553.55From 38 Tournaments;yatoro, YatoroGOD;Yatoro Ilya Mulyarchuk;$1,414,472.40;$277,902.24;$3,695,573.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Collapse;Magomed Khalilov;$5,394,791.67;Russian Federation;Dota 2;$5,394,791.67;100.00%;https://www.esportsearnings.com/players/70584-collapse-magomed-khalilov;"Magomed ""Collapse"" Khalilov - Dota 2 Player";Magomed Khalilov(Магомед Халилов);February 25, 2002;21;#2;$5,394,791.67From 42 Tournaments;CoLLapse;Collapse Magomed Khalilov;$1,409,472.40;$277,846.68;$3,695,573.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Collapse;Magomed Khalilov;$5,394,791.67;Russian Federation;Dota 2;$5,394,791.67;100.00%;https://www.esportsearnings.com/players/70584-collapse-magomed-khalilov;"Magomed ""Collapse"" Khalilov - Dota 2 Player";Magomed Khalilov(Магомед Халилов);February 25, 2002;21;#2;$5,394,791.67From 42 Tournaments;CoLLapse;Collapse Magomed Khalilov;$1,409,472.40;$277,846.68;$3,695,573.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
